epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,672.47,1.57338,2.53285,0.9429,0.44054,0.85907,0.44763,0.21503,1.60618,3.3545,0.957,0.0014456,0.0014456,0.0014456
44,687.883,1.63505,2.29743,0.91849,0.5682,0.88636,0.57715,0.27821,1.62227,2.80875,0.97206,0.0014324,0.0014324,0.0014324
45,703.153,1.52558,2.07054,0.92174,0.5682,0.88636,0.57715,0.27821,1.62227,2.80875,0.97206,0.0014192,0.0014192,0.0014192
46,718.531,1.51376,2.48182,0.88068,0.53232,0.86364,0.53689,0.29533,1.34387,2.74022,0.92389,0.001406,0.001406,0.001406
47,733.653,1.47337,2.56257,0.89954,0.61251,0.88636,0.65121,0.33982,1.29801,2.63561,0.91738,0.0013928,0.0013928,0.0013928
48,749.347,1.59656,2.36006,0.94396,0.96969,0.90909,0.98392,0.55458,1.2508,2.60539,0.91703,0.0013796,0.0013796,0.0013796
49,764.571,1.30728,2.45917,0.89301,0.96969,0.90909,0.98392,0.55458,1.2508,2.60539,0.91703,0.0013664,0.0013664,0.0013664
50,779.639,1.39858,1.94503,0.89488,0.991,0.93182,0.9928,0.55016,1.23849,2.51121,0.9135,0.0013532,0.0013532,0.0013532
51,794.575,1.34978,1.72844,0.85,1,0.95109,0.99456,0.59889,1.14413,2.22577,0.90692,0.00134,0.00134,0.00134
52,809.422,1.4221,2.02675,0.84897,1,0.95182,0.99413,0.58027,1.2696,2.35635,0.91397,0.0013268,0.0013268,0.0013268
53,824.078,1.48804,1.99109,0.8874,1,0.95182,0.99413,0.58027,1.2696,2.35635,0.91397,0.0013136,0.0013136,0.0013136
54,838.953,1.4387,1.94125,0.82668,1,0.97706,0.99456,0.56,1.22746,2.40546,0.91585,0.0013004,0.0013004,0.0013004
55,854.253,1.62229,2.1287,0.87185,0.97755,0.98992,0.99367,0.60806,1.23052,2.36398,0.93082,0.0012872,0.0012872,0.0012872
56,869.436,1.73351,2.37949,0.87513,0.93221,0.93771,0.9895,0.55168,1.46046,2.47289,0.94507,0.001274,0.001274,0.001274
57,884.072,1.49062,2.08004,0.90369,0.93221,0.93771,0.9895,0.55168,1.46046,2.47289,0.94507,0.0012608,0.0012608,0.0012608
58,898.635,1.56052,2.16232,0.91104,1,0.8234,0.99017,0.52173,1.53081,2.51576,0.94983,0.0012476,0.0012476,0.0012476
59,913.565,1.52375,1.95133,0.85299,0.97105,0.76247,0.96942,0.54286,1.4382,2.49987,0.94399,0.0012344,0.0012344,0.0012344
60,928.38,1.6558,2.14124,0.955,0.92221,0.77273,0.9197,0.54635,1.29579,2.30152,0.91533,0.0012212,0.0012212,0.0012212
61,943.105,1.57066,1.83338,0.88076,0.92221,0.77273,0.9197,0.54635,1.29579,2.30152,0.91533,0.001208,0.001208,0.001208
62,957.644,1.55286,1.94484,0.87746,0.89758,0.79673,0.91497,0.56217,1.18857,2.0877,0.90167,0.0011948,0.0011948,0.0011948
63,972.405,1.52589,1.80033,0.89977,0.92678,0.84091,0.95849,0.61344,1.04319,1.83308,0.89207,0.0011816,0.0011816,0.0011816
64,987.101,1.52014,1.94637,0.88167,0.94962,0.85696,0.97368,0.60682,1.09663,1.83608,0.89883,0.0011684,0.0011684,0.0011684
65,1002.21,1.44836,1.73152,0.8487,0.94962,0.85696,0.97368,0.60682,1.09663,1.83608,0.89883,0.0011552,0.0011552,0.0011552
66,1017.03,1.68277,1.90102,0.92945,0.98281,0.95455,0.99326,0.58609,1.22945,1.65401,0.90906,0.001142,0.001142,0.001142
67,1031.89,1.54191,1.7273,0.82409,0.99032,1,0.995,0.60769,1.13637,1.50681,0.90287,0.0011288,0.0011288,0.0011288
68,1046.87,1.32838,1.49918,0.86906,0.99761,1,0.995,0.63482,1.0326,1.39809,0.89681,0.0011156,0.0011156,0.0011156
69,1062.17,1.38333,1.62453,0.83337,0.99761,1,0.995,0.63482,1.0326,1.39809,0.89681,0.0011024,0.0011024,0.0011024
70,1077.03,1.35489,1.71208,0.90583,0.99788,1,0.995,0.63502,1.03773,1.39705,0.90102,0.0010892,0.0010892,0.0010892
71,1091.83,1.62457,2.16409,0.90735,0.99761,1,0.995,0.62854,0.98299,1.42793,0.89566,0.001076,0.001076,0.001076
72,1106.68,1.29396,1.64344,0.85369,0.96717,1,0.991,0.6487,0.96507,1.3458,0.89217,0.0010628,0.0010628,0.0010628
73,1121.64,1.41458,1.76387,0.85948,0.96717,1,0.991,0.6487,0.96507,1.3458,0.89217,0.0010496,0.0010496,0.0010496
